Type	Difficulty	Question	Answers	Override	hitPoint	distanceThreshold
Region	Easy	Point to the right pyramid.	Brain Stem.CR	Brain Stem	"0.00694,0.46012,0.21660"	0.150
Region	Easy	Point to the corpora quadrigemina.	Brain Stem.CR	Colliculi	"0.00711,0.93122,0.22916"	0.200
Region	Easy	Point to the left anterior horn of the lateral ventricles.	Ventricle		"0.04556,1.18121,-0.22127"	0.200
Region	Easy	Point to the left posterior horn of the lateral ventricles.	Ventricle		"0.22887,0.97295,0.48792"	0.200
Region	Easy	Point to the left inferior horn of the lateral ventricles.	Ventricle		"0.21206,0.93356,0.05560"	0.200
Region	Easy	Point to the left trigone or atrium.	Ventricle		"0.22548,1.05177,0.34052"	0.300
Simple	Easy	Which structure would contain the inferior olivary nuclei?	"Brain Stem.CL,Brain Stem.CR"	Lateral Brain Stem		
Simple	Easy	Which structure contains the midbrain or mesencephalon?	"Brain Stem.CL,Brain Stem.CR"			
Simple	Easy	"Which structure functions to control systems that regulate autonomic function, feeding, drinking, and thermoregulation?"	Hypothalamus			
Simple	Easy	Visual sensory fibers travel through this structure from the retina	Optic Nerve			
Simple	Easy	"At this structure, visual sensory fibers cross to the opposite side."	Optic Chiasm			
Simple	Easy	Sensory information from the nasal epithelium terminate in this structure.	Olfactory Tract			
Simple	Easy	This structure is anterior to the central sulcus.	"Frontal Lobe.CL,Frontal Lobe.CR"	Primary motor cortex		
Simple	Easy	The structure is posterior to the central sulcus.	"Parietal Lobe.CR,Parietal Lobe.CL"	Primary somatosensory cortex		
Simple	Easy	This structure is inferior to the lateral fissure.	"Temporal Lobe.CL,Temporal Lobe.CR"			
Simple	Easy	This structure is superior to the lateral sulcus.	"Frontal Lobe.CL,Frontal Lobe.CR,Parietal Lobe.CR,Parietal Lobe.CL"	Frontal and Parietal lobes		
Simple	Easy	"This structure contains Broca's area, which produces written, spoken, or signed language."	Frontal Lobe.CL			
Simple	Easy	"This structure contains the Wernicke's area, permits comprehension of written, spoken, or signed language."	Temporal Lobe.CL			
Simple	Easy	Control of movement from the left side of the body would be found in which cortical structure?	Frontal Lobe.CR			
Simple	Easy	Sensory information from the left side of the body terminates in which cortical structure?	Parietal Lobe.CR			
Simple	Easy	"Damage to which cortical structure can produce striking changes to personality, eye movements, and impulse control."	" Frontal Lobe.CL,Frontal Lobe.CR"			
Simple	Easy	Caudal to the post-central gyrus is this structure.	"Parietal Lobe.CR,Parietal Lobe.CL"			
Simple	Easy	This structure separates the lateral ventricles	Septum Pellucidum			
Simple	Easy	This structure is responsible for the synthesis of cerebrospinal fluid.	"Choroid plexus of left lateral ventricle,Choroid plexus of right lateral ventricle,Choroid plexus of fourth ventricle"	Choroid plexus		
Simple	Easy	"This cortex controls muscles to the face, lips, and tongue."	"Frontal Lobe.CR,Frontal Lobe.CL"	Lateral Frontal lobe		
Box	Normal	Identify four major structures that belong to the limbic system.	"Parahippocampus,Cingulate Gyrus,Amygdala"	Hippocampal Formation 		
